WoCID,lat_or,long_or,species,pathway_as_classified,continent
WC6625,52.28213402,5.134050474,Procambarus clarkii,intercontinental,Europe
WC6626,52.2824898,5.12991563,Procambarus clarkii,intercontinental,Europe
WC6627,52.28294597,5.12338982,Procambarus clarkii,intercontinental,Europe
WC6632,52.29161058,5.10955901,Procambarus clarkii,intercontinental,Europe
WC6633,52.31043613,5.07550703,Procambarus clarkii,intercontinental,Europe
WC6634,52.31085523,5.10949643,Procambarus clarkii,intercontinental,Europe
WC6635,52.31541727,5.07842302,Procambarus clarkii,intercontinental,Europe
WC6637,52.36506915,4.95562348,Procambarus clarkii,intercontinental,Europe
WC7146,48.861667,18.838556,Procambarus clarkii,intercontinental,Europe
WC7147,48.867944,18.835306,Procambarus clarkii,intercontinental,Europe
WC7148,47.857583,18.005444,Procambarus clarkii,intercontinental,Europe
WC9046,43.2768417,-2.1709435,Procambarus clarkii,intercontinental,Europe
WC9047,42.8855822,-2.4984907,Procambarus clarkii,intercontinental,Europe
WC9048,43.1820254,-2.6686985,Procambarus clarkii,intercontinental,Europe
WC9049,43.2117777,-2.7546532,Procambarus clarkii,intercontinental,Europe
WC9050,43.2010069,-2.771498,Procambarus clarkii,intercontinental,Europe
WC9051,42.6916178,-2.8452905,Procambarus clarkii,intercontinental,Europe
WC9052,43.2295461,-2.8495276,Procambarus clarkii,intercontinental,Europe
WC9053,43.2818792,-2.8548711,Procambarus clarkii,intercontinental,Europe
WC9054,43.3693558,-2.8673882,Procambarus clarkii,intercontinental,Europe
WC9055,42.6769964,-2.8965875,Procambarus clarkii,intercontinental,Europe
WC9056,42.7109263,-2.9276707,Procambarus clarkii,intercontinental,Europe
WC9057,43.2920754,-2.9375133,Procambarus clarkii,intercontinental,Europe
WC9059,43.2797559,-2.9930488,Procambarus clarkii,intercontinental,Europe
WC9060,43.2415312,-2.996502,Procambarus clarkii,intercontinental,Europe
WC9062,43.2116855,-3.0957921,Procambarus clarkii,intercontinental,Europe
WC9063,43.0889148,-3.1043976,Procambarus clarkii,intercontinental,Europe
WC9064,37.527186,-8.002606,Procambarus clarkii,intercontinental,Europe
WC9065,37.516498,-8.010159,Procambarus clarkii,intercontinental,Europe
WC9091,-27.882,26.6943,Procambarus clarkii,intercontinental,Africa
WC9093,-25.4735,30.1232,Procambarus clarkii,intercontinental,Africa
WC9094,-25.4722,30.1223,Procambarus clarkii,intercontinental,Africa
WC9095,-25.472,30.1245,Procambarus clarkii,intercontinental,Africa
WC9097,-25.397012,-49.283476,Procambarus clarkii,intercontinental,South America
WC9098,-24.3213699,-46.9922751,Procambarus clarkii,intercontinental,South America
WC9099,-24.2605192,-49.7251896,Procambarus clarkii,intercontinental,South America
WC9100,-23.9648,-47.0145,Procambarus clarkii,intercontinental,South America
WC9101,-23.7639134,-47.0702896,Procambarus clarkii,intercontinental,South America
WC9103,-23.7435,-46.3919,Procambarus clarkii,intercontinental,South America
WC9105,-23.6647,-46.7731,Procambarus clarkii,intercontinental,South America
WC9106,-23.6641,-46.6732,Procambarus clarkii,intercontinental,South America
WC9107,-23.6378,-46.8747,Procambarus clarkii,intercontinental,South America
WC9108,-23.6353,-46.8958,Procambarus clarkii,intercontinental,South America
WC9109,-23.6203,-46.8911,Procambarus clarkii,intercontinental,South America
WC9110,-23.5878,-46.7025,Procambarus clarkii,intercontinental,South America
WC9111,-23.5858,-47.1062,Procambarus clarkii,intercontinental,South America
WC9113,-23.5811,-46.7509,Procambarus clarkii,intercontinental,South America
WC9115,-23.5770645,-46.8397331,Procambarus clarkii,intercontinental,South America
WC9116,-23.565925,-45.8223445,Procambarus clarkii,intercontinental,South America
WC9118,-23.5156,-46.7492,Procambarus clarkii,intercontinental,South America
WC9120,-23.4637,-46.755,Procambarus clarkii,intercontinental,South America
WC9122,-23.2268162,-46.5444287,Procambarus clarkii,intercontinental,South America
WC9124,-23.1939,-49.7578,Procambarus clarkii,intercontinental,South America
WC9125,-23.0133,-45.5586,Procambarus clarkii,intercontinental,South America
WC9126,-17.8559,25.7821,Procambarus clarkii,intercontinental,Africa
WC9127,-12.2088,-76.9891,Procambarus clarkii,intercontinental,South America
WC9129,-6.8892,106.8619,Procambarus clarkii,intercontinental,Asia
WC9130,-3.3833329,36.783333,Procambarus clarkii,intercontinental,Africa
WC9131,-2.8816,38.4511,Procambarus clarkii,intercontinental,Africa
WC9132,-2.0402,-79.9351,Procambarus clarkii,intercontinental,South America
WC9134,-2.0146,36.1161,Procambarus clarkii,intercontinental,Africa
WC9135,-1.9449,30.0035,Procambarus clarkii,intercontinental,Africa
WC9136,-1.9406,30.1001,Procambarus clarkii,intercontinental,Africa
WC9137,-1.938,30.0953,Procambarus clarkii,intercontinental,Africa
WC9139,-1.5295286,29.6626119,Procambarus clarkii,intercontinental,Africa
WC9141,-1.4256,30.0216,Procambarus clarkii,intercontinental,Africa
WC9142,-1.4082479,36.8485894,Procambarus clarkii,intercontinental,Africa
WC9144,-1.3764,36.7489,Procambarus clarkii,intercontinental,Africa
WC9146,-1.3566,29.9079,Procambarus clarkii,intercontinental,Africa
WC9147,-1.325942,36.7178001,Procambarus clarkii,intercontinental,Africa
WC9149,-1.3251,36.7976,Procambarus clarkii,intercontinental,Africa
WC9151,-1.3203382,36.6900154,Procambarus clarkii,intercontinental,Africa
WC9152,-1.3181,36.8032,Procambarus clarkii,intercontinental,Africa
WC9153,-1.3016,36.7547,Procambarus clarkii,intercontinental,Africa
WC9157,-1.2987716,29.9279403,Procambarus clarkii,intercontinental,Africa
WC9158,-1.294,29.9129,Procambarus clarkii,intercontinental,Africa
WC9159,-1.284295,36.769935,Procambarus clarkii,intercontinental,Africa
WC9160,-1.2842,29.934,Procambarus clarkii,intercontinental,Africa
WC9162,-1.2817,29.916,Procambarus clarkii,intercontinental,Africa
WC9163,-1.2754,36.8726,Procambarus clarkii,intercontinental,Africa
WC9164,-1.2246838,36.8036661,Procambarus clarkii,intercontinental,Africa
WC9165,-1.1623,29.8078,Procambarus clarkii,intercontinental,Africa
WC9166,-1.1608,29.8065,Procambarus clarkii,intercontinental,Africa
WC9168,-1.0475746,37.1071903,Procambarus clarkii,intercontinental,Africa
WC9169,-1.046678,36.755493,Procambarus clarkii,intercontinental,Africa
WC9172,-0.9602,31.7351,Procambarus clarkii,intercontinental,Africa
WC9173,-0.8283,36.3536,Procambarus clarkii,intercontinental,Africa
WC9174,-0.8278,36.3499,Procambarus clarkii,intercontinental,Africa
WC9175,-0.8203,36.8503,Procambarus clarkii,intercontinental,Africa
WC9176,-0.8172,36.3019,Procambarus clarkii,intercontinental,Africa
WC9177,-0.8146,36.3243,Procambarus clarkii,intercontinental,Africa
WC9178,-0.8139,36.2785,Procambarus clarkii,intercontinental,Africa
WC9179,-0.8134,36.3209,Procambarus clarkii,intercontinental,Africa
WC9181,-0.8066,36.391,Procambarus clarkii,intercontinental,Africa
WC9182,-0.7969,36.3088,Procambarus clarkii,intercontinental,Africa
WC9183,-0.791,36.4028,Procambarus clarkii,intercontinental,Africa
WC9184,-0.7826,36.41,Procambarus clarkii,intercontinental,Africa
WC9185,-0.7785,36.4099,Procambarus clarkii,intercontinental,Africa
WC9189,-0.7709,36.3976,Procambarus clarkii,intercontinental,Africa
WC9193,-0.7631,36.2867,Procambarus clarkii,intercontinental,Africa
WC9196,-0.7564,36.2837,Procambarus clarkii,intercontinental,Africa
WC9199,-0.7455335,36.4274591,Procambarus clarkii,intercontinental,Africa
WC9201,-0.7433,36.2876,Procambarus clarkii,intercontinental,Africa
WC9202,-0.7423171,36.4285668,Procambarus clarkii,intercontinental,Africa
WC9205,-0.7198,36.3153,Procambarus clarkii,intercontinental,Africa
WC9206,-0.715,36.3609,Procambarus clarkii,intercontinental,Africa
WC9208,-0.715,36.363,Procambarus clarkii,intercontinental,Africa
WC9212,-0.7058,36.3355,Procambarus clarkii,intercontinental,Africa
WC9214,-0.6898,36.3673,Procambarus clarkii,intercontinental,Africa
WC9215,-0.6753,36.3793,Procambarus clarkii,intercontinental,Africa
WC9217,-0.613333,30.658333,Procambarus clarkii,intercontinental,Africa
WC9220,-0.3676317,-78.5000783,Procambarus clarkii,intercontinental,South America
WC9221,-0.321,30.1036,Procambarus clarkii,intercontinental,Africa
WC9222,-0.2895,30.1293,Procambarus clarkii,intercontinental,Africa
WC9223,-0.1559,36.4426,Procambarus clarkii,intercontinental,Africa
WC9225,-0.1278,36.432,Procambarus clarkii,intercontinental,Africa
WC9231,0.2055,32.5446,Procambarus clarkii,intercontinental,Africa
WC9232,0.2865,36.9105,Procambarus clarkii,intercontinental,Africa
WC9233,0.3134467,-78.2626883,Procambarus clarkii,intercontinental,South America
WC9234,0.3663199,-78.0888801,Procambarus clarkii,intercontinental,South America
WC9235,0.3683,-78.1027,Procambarus clarkii,intercontinental,South America
WC9237,0.3697121,-78.0919575,Procambarus clarkii,intercontinental,South America
WC9239,0.3761,-78.1032,Procambarus clarkii,intercontinental,South America
WC9241,0.39245,-79.6413333,Procambarus clarkii,intercontinental,South America
WC9242,0.457212,36.260308,Procambarus clarkii,intercontinental,Africa
WC9244,0.5057,-78.123,Procambarus clarkii,intercontinental,South America
WC9247,0.5197322,-78.1750876,Procambarus clarkii,intercontinental,South America
WC9248,0.5275,36.8625,Procambarus clarkii,intercontinental,Africa
WC9249,0.5426,36.3186,Procambarus clarkii,intercontinental,Africa
WC9253,3.5555584,-76.2750105,Procambarus clarkii,intercontinental,South America
WC9254,3.8806998,-76.3457506,Procambarus clarkii,intercontinental,South America
WC9256,4.345152,-74.361823,Procambarus clarkii,intercontinental,South America
WC9258,4.5376766,-74.0963063,Procambarus clarkii,intercontinental,South America
WC9260,4.5394,-74.9965,Procambarus clarkii,intercontinental,South America
WC9261,4.5445602,-74.100904,Procambarus clarkii,intercontinental,South America
WC9262,4.5514,-74.992,Procambarus clarkii,intercontinental,South America
WC9263,4.5569,-74.9906,Procambarus clarkii,intercontinental,South America
WC9264,4.6537,-74.0936,Procambarus clarkii,intercontinental,South America
WC9267,4.6547498,-74.0811099,Procambarus clarkii,intercontinental,South America
WC9271,4.6548504,-74.0950222,Procambarus clarkii,intercontinental,South America
WC9275,4.656484,-74.094349,Procambarus clarkii,intercontinental,South America
WC9278,4.6571717,-74.097269,Procambarus clarkii,intercontinental,South America
WC9306,4.6607,-74.0907,Procambarus clarkii,intercontinental,South America
WC9309,4.66202,-74.0940342,Procambarus clarkii,intercontinental,South America
WC9310,4.6635,-74.0927,Procambarus clarkii,intercontinental,South America
WC9313,4.7167,-74.0945,Procambarus clarkii,intercontinental,South America
WC9316,4.7219,-74.0982,Procambarus clarkii,intercontinental,South America
WC9318,4.7232689,-74.1026832,Procambarus clarkii,intercontinental,South America
WC9320,4.7254,-74.1035,Procambarus clarkii,intercontinental,South America
WC9325,4.8597984,-74.0323906,Procambarus clarkii,intercontinental,South America
WC9331,4.8616,-74.0342,Procambarus clarkii,intercontinental,South America
WC9332,4.8799115,-74.0167799,Procambarus clarkii,intercontinental,South America
WC9333,4.8951,-74.0203,Procambarus clarkii,intercontinental,South America
WC9334,4.9078,-73.7667,Procambarus clarkii,intercontinental,South America
WC9335,4.9174,-73.7572,Procambarus clarkii,intercontinental,South America
WC9336,4.920262,-74.099817,Procambarus clarkii,intercontinental,South America
WC9338,4.9231,-73.7515,Procambarus clarkii,intercontinental,South America
